lid,tid,div,year,wins,losses,ties,apWins,apLosses,apTies,pf,pa,pdiff,pp,ppp,pw,pl,pp_pct,pmax,pmin,pdev,doi,pSlot1,pSlot2,pSlot3,pSlot4,pSlot5,pSlot6,pSlot7,pSlot8,pSlot9,pSlot10,pSlot11,pSlot12,pSlot13,pSlot14,pSlot15,pSlot16,pSlot17,pPosQB,pPosRB,pPosWR,pPosTE,pPosK,pPosDST,division_finish,regular_season_finish,post_season_finish,overall_finish
1,1,4,2020,6,7,0,95,59,0,1936.27,1606.41,329.86,2070.07,0,1,2,93.54,181.62,107.01,24.52,5.09,372.1,354.6,298.3,108.3,0,0,204.1,321.65,119,158.22,0,0,0,0,0,0,0,693.75,495.4,361.6,108.3,119,158.22,2,5,2,2
1,2,1,2020,5,8,0,60,94,0,1681.18,1778.13,-96.95,1905.04,0,2,3,88.25,147.22,88.2,15.34,3.58,289,324.3,338.2,92.5,0,0,208.9,222.5,143.7,62.08,0,0,0,0,0,0,0,505.1,330.7,547.1,92.5,143.7,62.08,1,4,6,6
1,3,1,2020,5,8,0,66,88,0,1639.59,1581.5,58.09,2043.92,0,6,0,80.22,149.95,72.16,23.57,5.11,371,419,214.3,94.3,0,0,90.7,248.35,116.2,85.74,0,0,0,0,0,0,0,602.05,482.8,258.5,94.3,116.2,85.74,2,9,null,9
1,4,2,2020,12,1,0,118,36,0,2043.63,1541.25,502.38,2226.88,0,1,3,91.77,193.95,123.35,17.74,6.64,332.65,423.8,400.8,152.9,0,0,199,333.5,123.3,77.68,0,0,0,0,0,0,0,666.15,454.8,563.5,158.2,123.3,77.68,1,2,3,3
1,5,2,2020,1,12,0,31,123,0,1463.19,1757.84,-294.65,1652.59,0,1,0,88.54,154.57,61.35,21.66,1,268.85,212.2,296.6,117.7,0,0,142.8,246.2,116.3,62.54,0,0,0,0,0,0,0,494.15,215.7,456.8,117.7,116.3,62.54,3,12,null,12
1,6,2,2020,4,9,0,46,108,0,1510.92,1680.5,-169.58,1777.42,0,2,0,85.01,173.67,32.2,32.62,2.27,262.8,315,288,75.2,0,0,97.8,174.6,163.4,134.12,0,0,0,0,0,0,0,409.4,357.1,357.4,89.5,163.4,134.12,2,11,null,11
1,7,3,2020,9,4,0,99,55,0,1948.78,1542.8,405.98,2158.49,0,1,2,90.28,210.6,93.57,28.76,6.06,273.75,364.4,292.8,224.8,0,0,211.9,289.75,126,165.38,0,0,0,0,0,0,0,563.5,389.7,479.4,224.8,126,165.38,1,3,4,4
1,8,3,2020,8,5,0,75,79,0,1749.23,1495.47,253.76,2050.47,0,2,2,85.31,166.9,94.56,19.09,5.09,257.75,421.4,248.4,110.7,0,0,182,291,148.9,89.08,0,0,0,0,0,0,0,548.75,487.1,364.7,110.7,148.9,89.08,2,7,null,7
1,9,3,2020,6,7,0,67,87,0,1693.27,1623.94,69.33,1940.77,0,2,2,87.25,147.75,100.21,16.68,3.91,319.25,268.9,332.8,139.4,0,0,88.5,366.8,102.2,75.42,0,0,0,0,0,0,0,661.95,279,423.2,151.5,102.2,75.42,3,8,null,8
1,10,4,2020,6,7,0,87,67,0,1845.2,1707.97,137.23,2040.6,0,1,2,90.42,181.37,97.99,22.46,4.84,365.1,420.7,311.9,107.9,0,0,140.8,228,162.2,108.6,0,0,0,0,0,0,0,570,460.3,436.2,107.9,162.2,108.6,3,6,5,5
1,11,4,2020,11,2,0,122,32,0,2074.36,1608,466.36,2436.31,0,2,4,85.14,207.5,101.41,24.56,9,386.1,366.7,457.6,119.5,0,0,189.3,351.6,88.2,115.36,0,0,0,0,0,0,0,737.7,473.1,540.5,119.5,88.2,115.36,1,1,1,1
1,12,1,2020,5,8,0,58,96,0,1611.42,1725.93,-114.51,1768.17,0,0,1,91.13,162.95,66.36,24.43,2.03,239.3,260.5,324,112.5,0,0,231,221.8,118.7,103.62,0,0,0,0,0,0,0,409.4,315.5,485,179.2,118.7,103.62,3,10,null,10
1,1,1,2021,10,4,0,127,27,0,2181.75,1857.12,324.63,2441.41,0,2,1,89.36,211.78,114.46,30.86,9,351.95,535.7,390.4,191.1,0,0,226.3,295.8,115.5,75,0,0,0,0,0,0,0,647.75,751.9,400.5,191.1,115.5,75,1,1,1,1
1,2,3,2021,9,5,0,79,75,0,1759.08,1708.04,51.04,1951.14,0,1,4,90.16,151,89.7,19.36,4.92,336.5,340.7,338.3,118.6,0,0,133.2,261.3,131.8,98.68,0,0,0,0,0,0,0,597.8,418.8,393.4,118.6,131.8,98.68,1,4,2,2
1,3,1,2021,7,7,0,89,65,0,1867.77,1868.19,-0.42,2102.27,0,2,1,88.85,164.53,110.35,16.4,6.22,260.35,445.8,383.7,93.5,0,0,125.9,294.6,144.2,119.72,0,0,0,0,0,0,0,547.65,513.1,449.6,93.5,144.2,119.72,3,6,6,6
1,4,3,2021,9,5,0,76,78,0,1752.47,1674.34,78.13,2046.92,0,2,4,85.61,159.95,89.23,22.08,5.84,347.6,297.3,329.1,115.8,0,0,104.6,336.65,108.8,112.62,0,0,0,0,0,0,0,679.25,309.7,426.3,115.8,108.8,112.62,2,9,null,9
1,5,4,2021,10,4,0,89,65,0,1827.4,1806.95,20.45,1973.86,0,1,3,92.58,183.31,90.92,24.85,5.03,311.3,419.4,258.75,124.3,0,0,148.5,328.15,113.1,123.9,0,0,0,0,0,0,0,639.45,540.7,285.95,124.3,113.1,123.9,1,2,3,3
1,6,2,2021,2,12,0,30,124,0,1397.73,1829.84,-432.11,1574.93,0,2,0,88.75,135.86,61.45,20.83,1.91,308.55,225.7,234.65,147.1,0,0,128,141.15,130.3,82.28,0,0,0,0,0,0,0,440.4,225.7,371.95,147.1,130.3,82.28,3,11,null,11
1,7,4,2021,4,10,0,55,99,0,1664.14,1848.22,-184.08,1902.34,0,2,1,87.48,158.38,91.32,18.24,4.71,171.4,331.8,330,164.6,0,0,162.6,279,119.6,105.14,0,0,0,0,0,0,0,450.4,331.8,492.6,164.6,119.6,105.14,3,10,null,10
1,8,1,2021,8,6,0,90,64,0,1832.09,1925.98,-93.89,2007.25,0,1,2,91.27,164.74,100.84,19.6,5.33,270.45,401.4,304.7,174.1,0,0,107.4,313.3,150,110.74,0,0,0,0,0,0,0,554.85,506.9,335.5,174.1,150,110.74,2,7,null,7
1,9,4,2021,8,6,0,87,67,0,1798.06,1585.29,212.77,2031.11,0,2,1,88.53,186.64,64.55,33.8,5.58,300.85,284.6,348,122.8,0,0,212.6,278.85,151.3,99.06,0,0,0,0,0,0,0,579.7,314,531.2,122.8,151.3,99.06,2,8,null,8
1,10,2,2021,7,7,0,87,67,0,1938.2,1733.54,204.66,2105.78,0,0,1,92.04,227.58,99.8,32.58,6.28,292.9,384.75,479.2,135.7,0,0,154,313.45,110.9,67.3,0,0,0,0,0,0,0,597.25,447.05,577.3,138.4,110.9,67.3,2,5,4,4
1,11,2,2021,8,6,0,83,71,0,1805.86,1641.59,164.27,2078.91,0,4,1,86.87,152.25,107.28,15.92,6.07,221.2,368.6,378.5,98.1,0,0,210,282.6,113.7,133.16,0,0,0,0,0,0,0,503.8,516.8,440.3,98.1,113.7,133.16,1,3,5,5
1,12,3,2021,2,12,0,32,122,0,1340.87,1686.32,-345.45,1477.57,0,2,2,90.75,136.61,61.37,19.92,0.98,209.45,225.5,294.5,118.3,0,0,169.1,164,124.3,35.72,0,0,0,0,0,0,0,283.05,248.6,530.9,118.3,124.3,35.72,3,12,null,12
1,1,3,2022,10,4,0,118,36,0,2047.4,1854.09,193.31,2178.33,0,1,3,93.99,176.85,124.6,18.83,9,361.8,420.2,359.5,91.7,0,0,169.8,376.2,148.7,119.5,0,0,0,0,0,0,0,738,585.9,363.6,91.7,148.7,119.5,1,1,1,1
1,2,1,2022,10,4,0,82,72,0,1747.11,1560.63,186.48,1929.38,0,2,4,90.55,156.38,82.45,20.27,5.82,214.1,403.9,404.5,139.7,0,0,155.6,223.25,99.2,106.86,0,0,0,0,0,0,0,437.35,503.2,460.8,139.7,99.2,106.86,2,6,6,6
1,3,2,2022,4,10,0,54,100,0,1496.91,1746.87,-249.96,1725.51,0,3,1,86.75,142.61,76.34,17.53,3.19,248.2,259.6,287.3,115.9,0,0,135.1,215.75,119.5,115.56,0,0,0,0,0,0,0,433.25,286.3,426.4,115.9,119.5,115.56,3,11,null,11
1,4,2,2022,7,7,0,67,87,0,1672.97,1751.48,-78.51,1860.39,0,1,2,89.93,184.99,84.8,26.78,5,307.9,364.9,313.75,90.2,0,0,153.3,237.3,93.6,112.02,0,0,0,0,0,0,0,541.6,407.2,428.35,90.2,93.6,112.02,1,4,5,5
1,5,4,2022,7,7,0,86,68,0,1753.38,1753.64,-0.26,1929.81,0,1,2,90.86,138.75,108.56,8.91,5.77,384.45,351.5,346.5,98.8,0,0,125.2,256.35,103.1,87.48,0,0,0,0,0,0,0,640.8,447.6,375.6,98.8,103.1,87.48,1,3,2,2
1,6,3,2022,7,7,0,87,67,0,1732.77,1813.75,-80.98,2024.52,0,1,4,85.59,174.94,66.65,32.9,7.14,343.25,294,370.9,104.1,0,0,150.5,236.9,122.2,110.92,0,0,0,0,0,0,0,580.15,342.9,472.5,104.1,122.2,110.92,3,7,null,7
1,7,4,2022,6,8,0,65,89,0,1675.74,1777.27,-101.53,1874.44,0,2,1,89.4,155.84,75.31,24.68,5.23,212.8,408.1,261.3,222.7,0,0,128.5,252.6,106.6,83.14,0,0,0,0,0,0,0,436.5,441.6,385.2,222.7,106.6,83.14,2,9,null,9
1,8,4,2022,6,8,0,49,105,0,1501.91,1571.77,-69.86,1788.72,0,3,2,83.97,162.55,64.53,25.38,4.17,242.8,239.4,298.3,134.5,0,0,123.9,217.15,149.9,95.96,0,0,0,0,0,0,0,459.95,329.3,332.3,134.5,149.9,95.96,3,10,null,10
1,9,2,2022,6,8,0,71,83,0,1716.58,1650.27,66.31,1941.33,0,4,2,88.42,181.19,65.7,30.6,6.13,301.25,313.4,424,79,0,0,132.6,238.75,95.8,131.78,0,0,0,0,0,0,0,535.9,360.2,513.9,79,95.8,131.78,2,8,null,8
1,10,3,2022,9,5,0,105,49,0,1975.93,1669.82,306.11,2053.63,0,2,1,96.22,192.41,101.78,29.71,7.34,371.7,392.8,388.6,48.3,0,0,217.7,278.55,143.6,134.68,0,0,0,0,0,0,0,645.05,546.5,457.8,48.3,143.6,134.68,2,5,4,4
1,11,1,2022,10,4,0,103,51,0,1907.3,1790.57,116.73,2150.6,0,3,3,88.69,176.95,83.7,23.74,8.78,260,412.2,452.9,116.8,0,0,178.5,220.3,115.6,151,0,0,0,0,0,0,0,467.9,511.1,544.9,116.8,115.6,151,1,2,3,3
1,12,1,2022,2,12,0,37,117,0,1387.81,1675.65,-287.84,1560.76,0,2,0,88.92,144.25,67.33,23.59,1,260.85,375.2,195.6,71.5,0,0,98.8,212.2,106.4,67.26,0,0,0,0,0,0,0,375.05,425.2,342.4,71.5,106.4,67.26,3,12,null,12
1,1,1,2023,8,6,0,71,55,0,1751.81,1751.03,0.78,2079.95,0,2,2,84.22,172.55,86.1,24.28,9.17,371.3,345.7,344.85,84.8,0,0,213.9,280.4,0,110.86,0,0,0,0,0,0,0,651.7,508.2,396.25,84.8,0,110.86,2,2,1,1
1,2,2,2023,9,5,0,77,49,0,1779.54,1758.17,21.37,1986.35,0,0,2,89.59,148.3,92.39,17.84,6.65,274.9,430.6,337.8,157.9,0,0,159.7,275.1,0,143.54,0,0,0,0,0,0,0,550,578.5,349.6,157.9,0,143.54,1,1,4,4
1,4,1,2023,8,6,0,69,57,0,1704.42,1669.42,35,1901.34,0,1,5,89.64,153.75,86.55,22.13,4.73,320.35,365,292.1,135.6,0,0,198.1,275.95,0,117.32,0,0,0,0,0,0,0,596.3,517.8,337.4,135.6,0,117.32,3,6,3,3
1,5,2,2023,6,8,0,70,56,0,1738.18,1708.89,29.29,1902.77,0,2,1,91.35,157.4,75.93,23.13,4.74,289.75,254.2,458.3,148.9,0,0,155,280.75,0,151.28,0,0,0,0,0,0,0,564.4,272.2,601.4,148.9,0,151.28,3,5,2,2
1,6,1,2023,7,7,0,63,63,0,1703.45,1646.07,57.38,1919.06,0,2,2,88.76,164.75,84.58,25.15,5.35,286.45,413.3,322.8,162.4,0,0,154.9,229.9,0,133.7,0,0,0,0,0,0,0,516.35,443.8,447.2,162.4,0,133.7,4,7,null,7
1,7,2,2023,7,7,0,49,77,0,1600.45,1519.37,81.08,1856.3,0,6,1,86.22,148,72.15,20.04,4.16,208,358.2,307.2,141.7,0,0,183.5,295.65,0,106.2,0,0,0,0,0,0,0,503.65,537.5,311.4,141.7,0,106.2,2,4,5,5
1,9,1,2023,4,10,0,41,85,0,1509.53,1769.9,-260.37,1721.78,0,2,2,87.67,150.05,72.37,21.49,1,254.15,279,363.2,56.9,0,0,205.1,237.4,0,113.78,0,0,0,0,0,0,0,491.55,353.7,493.6,56.9,0,113.78,5,10,null,10
1,10,2,2023,6,8,0,63,63,0,1702.08,1745.17,-43.09,1870.28,0,3,3,91.01,160.8,98.75,17.41,4.12,298.05,303.4,437.2,82.2,0,0,123.5,358.65,0,99.08,0,0,0,0,0,0,0,656.7,405.7,458.4,82.2,0,99.08,4,8,null,8
1,11,1,2023,9,5,0,69,57,0,1717.8,1595.42,122.38,1929.65,0,1,2,89.02,145.9,88.55,16.6,5.45,296.7,363.4,372.9,108.6,0,0,165.7,289.6,0,120.9,0,0,0,0,0,0,0,578.9,487.6,421.8,108.6,0,120.9,1,3,6,6
1,12,2,2023,6,8,0,58,68,0,1655.46,1699.28,-43.82,1972.21,0,2,1,83.94,166.72,82.6,20.75,6.82,211.75,374.7,379.95,122.5,0,0,178.8,234.5,0,153.26,0,0,0,0,0,0,0,420.75,384.3,574.65,122.5,0,153.26,5,9,null,9
